Year,ID,SL_mm,cap_DATE_noyr,cap_doy_corr,Final.Age,Yearf
2009,54,43,6-Jul,187,95,2009
2009,57,45,6-Jul,187,94,2009
2009,58,43,6-Jul,187,107,2009
2009,59,42,6-Jul,187,102,2009
2009,60,43,6-Jul,187,94,2009
2009,61,37,6-Jul,187,82,2009
2009,62,42,27-Jul,208,95,2009
2009,63,40,6-Jul,187,84,2009
2009,64,40,6-Jul,187,85,2009
2009,65,45,6-Jul,187,90,2009
2009,66,39,6-Jul,187,92,2009
2009,67,42,6-Jul,187,88,2009
2009,69,33,6-Jul,187,89,2009
2009,70,41,6-Jul,187,84,2009
2009,71,41,6-Jul,187,91,2009
2009,73,40,6-Jul,187,93,2009
2009,74,32,6-Jul,187,80,2009
2009,76,39,6-Jul,187,95,2009
2009,77,41,21-Jul,202,95,2009
2009,229,35,17-Jul,198,82,2009
2009,236,34,14-Jul,195,80,2009
2009,237,33,14-Jul,195,76,2009
2009,238,31,14-Jul,195,78,2009
2009,239,40,14-Jul,195,88,2009
2009,240,47,14-Jul,195,113,2009
2009,242,41,14-Jul,195,82,2009
2009,243,40,14-Jul,195,81,2009
2009,244,42,14-Jul,195,85,2009
2009,245,40,14-Jul,195,87,2009
2009,246,44,14-Jul,195,93,2009
2009,247,39,14-Jul,195,87,2009
2009,248,39,14-Jul,195,82,2009
2009,250,36,14-Jul,195,85,2009
2007,745,49,21-Jul,202,118,2007
2007,746,46,21-Jul,202,99,2007
2007,747,48,21-Jul,202,98,2007
2007,748,44,21-Jul,202,109,2007
2007,750,47,21-Jul,202,98,2007
2007,751,40,21-Jul,202,88,2007
2007,752,48,21-Jul,202,111,2007
2007,753,43,21-Jul,202,100,2007
2007,756,43,21-Jul,202,106,2007
2007,757,46,21-Jul,202,96,2007
2007,758,44,21-Jul,202,104,2007
2007,759,42,21-Jul,202,82,2007
2007,760,41,21-Jul,202,88,2007
2007,761,44,21-Jul,202,96,2007
2007,762,41,21-Jul,202,93,2007
2007,763,40,21-Jul,202,88,2007
2007,764,40,21-Jul,202,91,2007
2007,765,41,21-Jul,202,82,2007
2007,766,47,21-Jul,202,111,2007
2007,767,40,21-Jul,202,96,2007
2007,768,45,21-Jul,202,97,2007
2007,769,45,21-Jul,202,108,2007
2007,770,42,21-Jul,202,101,2007
2007,771,48,21-Jul,202,108,2007
2007,772,44,21-Jul,202,99,2007
2007,773,44,21-Jul,202,94,2007
2007,774,41,21-Jul,202,94,2007
2007,775,43,21-Jul,202,101,2007
2010,831,48,20-Jul,201,117,2010
2010,832,48,20-Jul,201,91,2010
2010,833,47,20-Jul,201,113,2010
2010,838,48,20-Jul,201,84,2010
2010,839,45,20-Jul,201,83,2010
2010,840,45,20-Jul,201,120,2010
2010,841,52,20-Jul,201,95,2010
2010,843,45,20-Jul,201,91,2010
2010,844,44,20-Jul,201,100,2010
2010,847,43,20-Jul,201,96,2010
2010,848,44,20-Jul,201,86,2010
2010,852,42,20-Jul,201,94,2010
2010,854,41,20-Jul,201,92,2010
2010,855,36,20-Jul,201,78,2010
2010,861,38,20-Jul,201,72,2010
2010,864,49,20-Jul,201,110,2010
2010,868,43,20-Jul,201,101,2010
2010,869,44,20-Jul,201,100,2010
2010,871,46,20-Jul,201,98,2010
2010,872,46,20-Jul,201,97,2010
2010,873,47,20-Jul,201,85,2010
2010,876,52,20-Jul,201,125,2010
2010,879,50,20-Jul,201,118,2010
2012,971,37,14-Jul,196,108,2012
2012,972,44,14-Jul,196,106,2012
2012,973,39.9,14-Jul,196,99,2012
2012,974,43.7,14-Jul,196,101,2012
2012,975,33.8,14-Jul,196,90,2012
2012,976,39.2,14-Jul,196,101,2012
2012,977,38,14-Jul,196,103,2012
2012,978,52.9,14-Jul,196,122,2012
2012,979,45.7,14-Jul,196,109,2012
2012,981,33.7,14-Jul,196,94,2012
2012,983,42.5,14-Jul,196,108,2012
2012,984,39.6,13-Jul,195,97,2012
2012,985,38.1,13-Jul,195,96,2012
2012,986,39.8,13-Jul,195,110,2012
2012,987,39.1,13-Jul,195,102,2012
2012,988,40.9,13-Jul,195,108,2012
2012,989,38.6,13-Jul,195,107,2012
2012,990,36.5,13-Jul,195,94,2012
2012,991,41.8,13-Jul,195,111,2012
2012,992,40.3,13-Jul,195,102,2012
2012,993,41.6,13-Jul,195,100,2012
2012,994,35.2,13-Jul,195,86,2012
2012,996,39.4,13-Jul,195,103,2012
2012,998,33.5,13-Jul,195,98,2012
2012,999,35.1,13-Jul,195,99,2012
2012,1001,48.7,13-Jul,195,112,2012
2012,1002,37.9,13-Jul,195,97,2012
2012,1003,41.6,13-Jul,195,104,2012
2012,1006,45.2,13-Jul,195,119,2012
2012,1007,37.2,13-Jul,195,101,2012
2012,1009,38.9,13-Jul,195,102,2012
2012,1010,41.9,13-Jul,195,110,2012
2012,1013,36.1,13-Jul,195,106,2012
2018,2001,71,18-Jul,199,142,2018
2018,2005,74,18-Jul,199,148,2018
2018,2006,86,18-Jul,199,170,2018
2018,2007,87,18-Jul,199,147,2018
2018,2010,62,18-Jul,199,135,2018
2018,2011,50,17-Jul,198,112,2018
2018,2016,56,17-Jul,198,134,2018
2018,2017,65,15-Jul,196,135,2018
2018,2019,54,15-Jul,196,128,2018
2018,2021,58,15-Jul,196,127,2018
2018,2025,85,15-Jul,196,144,2018
2018,2026,82,18-Jul,199,139,2018
2018,2028,78,18-Jul,199,136,2018
2018,2029,95,18-Jul,199,168,2018
2018,2031,83,18-Jul,199,150,2018
2018,2034,67,18-Jul,199,139,2018
2018,2038,64,15-Jul,196,131,2018
2018,2042,50,15-Jul,196,117,2018
2018,2043,56,15-Jul,196,118,2018
2018,2045,70,15-Jul,196,140,2018
2013,2046,42,23-Jul,204,91,2013
2013,2047,43,23-Jul,204,85,2013
2013,2048,46,23-Jul,204,94,2013
2013,2049,41,23-Jul,204,85,2013
2013,2055,46,23-Jul,204,95,2013
2013,2059,51,25-Jul,206,90,2013
2013,2060,51,25-Jul,206,93,2013
2013,2061,48,25-Jul,206,94,2013
2013,2064,48,25-Jul,206,100,2013
2013,2066,49,24-Jul,205,87,2013
2013,2068,61,25-Jul,206,113,2013
2013,2069,48,25-Jul,206,93,2013
2013,2070,49,25-Jul,206,108,2013
2013,2071,47,25-Jul,206,90,2013
2013,2073,56,25-Jul,206,126,2013
2013,2077,50,24-Jul,205,104,2013
2013,2079,55,24-Jul,205,108,2013
2013,2080,66,24-Jul,205,125,2013
2013,2083,53,24-Jul,205,100,2013
2015,2127,46,12-Jul,193,108,2015
2015,2128,50,16-Jul,197,98,2015
2015,2129,41,12-Jul,193,79,2015
2014,2130,57,19-Jul,200,121,2014
2014,2138,55,16-Jul,197,123,2014
2014,2139,53,16-Jul,197,121,2014
2014,2140,55,16-Jul,197,118,2014
2014,2141,56,16-Jul,197,119,2014
2014,2143,46,16-Jul,197,113,2014
2014,2144,60,16-Jul,197,132,2014
2014,2147,55,16-Jul,197,118,2014
2014,2148,55,16-Jul,197,129,2014
2014,2150,48,16-Jul,197,96,2014
2014,2152,48,16-Jul,197,111,2014
2014,2154,52,16-Jul,197,125,2014
2014,2155,35,14-Jul,195,87,2014
2014,2156,48,14-Jul,195,120,2014
2014,2158,61,14-Jul,195,130,2014
2014,2159,58,16-Jul,197,119,2014
2014,2164,53,16-Jul,197,120,2014
2014,2165,50,16-Jul,197,112,2014
2014,2166,48,16-Jul,197,116,2014
2014,2167,39,16-Jul,197,100,2014
2016,2232,70,15-Jul,197,115,2016
2016,2234,64,15-Jul,197,122,2016
2016,2235,60,15-Jul,197,105,2016
2016,2240,63,15-Jul,197,118,2016
2016,2244,65,15-Jul,197,132,2016
2016,2249,63,15-Jul,197,117,2016
2016,2250,62,15-Jul,197,108,2016
2016,2251,57,15-Jul,197,101,2016
2016,2252,75,15-Jul,197,137,2016
2017,2287,54,15-Jul,196,108,2017
2017,2288,67,15-Jul,196,117,2017
2017,2290,71,15-Jul,196,133,2017
2017,2291,64,15-Jul,196,109,2017
2017,2292,61,15-Jul,196,115,2017
2017,2294,58,15-Jul,196,123,2017
2017,2295,58,15-Jul,196,106,2017
2017,2296,57,15-Jul,196,115,2017
2016,2299,65,13-Jul,195,120,2016
2016,2301,52,13-Jul,195,110,2016
2016,2302,57,13-Jul,195,120,2016
2015,2307,48,14-Jul,195,97,2015
2015,2308,53,14-Jul,195,102,2015
2015,2309,47,14-Jul,195,106,2015
2015,2310,53,15-Jul,196,106,2015
2015,2311,46,15-Jul,196,99,2015
2017,2313,57,15-Jul,196,120,2017
2017,2314,55,15-Jul,196,119,2017
2017,2315,63,15-Jul,196,123,2017
2017,2317,85,15-Jul,196,143,2017
2017,2318,87,15-Jul,196,144,2017
2017,2319,60,15-Jul,196,108,2017
2017,2321,59,15-Jul,196,117,2017
2017,2322,65,15-Jul,196,126,2017
2017,2323,65,15-Jul,196,104,2017
2017,2324,40,15-Jul,196,99,2017
2017,2325,35,15-Jul,196,95,2017
2017,2326,64,15-Jul,196,106,2017
2017,2327,64,15-Jul,196,121,2017
2017,2330,47,15-Jul,196,89,2017
2017,2331,58,15-Jul,196,102,2017
2017,2332,62,15-Jul,196,103,2017
2016,2335,68,17-Jul,199,132,2016
2016,2337,62,17-Jul,199,128,2016
2016,2338,61,17-Jul,199,127,2016
2016,2342,60,17-Jul,199,115,2016
2016,2344,62,17-Jul,199,138,2016
2016,2345,57,15-Jul,197,109,2016
2016,2347,67,15-Jul,197,104,2016
2019,2380,53,13-Jul,194,110,2019
2019,2383,43,13-Jul,194,95,2019
2019,2384,63,13-Jul,194,123,2019
2019,2385,44,13-Jul,194,111,2019
2019,2387,50,13-Jul,194,109,2019
2019,2388,54,13-Jul,194,111,2019
2019,2389,56,13-Jul,194,135,2019
2019,2390,45,13-Jul,194,106,2019
2019,2392,45,13-Jul,194,103,2019
2019,2393,47,13-Jul,194,111,2019
2019,2394,38,13-Jul,194,94,2019
2019,2396,48,13-Jul,194,111,2019
2019,2398,42,13-Jul,194,103,2019
2019,2399,45,13-Jul,194,107,2019
2019,2401,51,13-Jul,194,120,2019
2019,2402,49,13-Jul,194,114,2019
2019,2404,60,13-Jul,194,128,2019
2019,2405,55,13-Jul,194,114,2019
2019,2407,56,13-Jul,194,114,2019
2019,2408,47,13-Jul,194,98,2019
2007,749,45,21-Jul,202,101,2007
2007,754,45,21-Jul,202,101,2007
2007,755,45,21-Jul,202,101,2007
2009,208,29,19-Jul,200,73,2009
2009,209,39,19-Jul,200,88,2009
2009,210,43,19-Jul,200,94,2009
2009,211,32,19-Jul,200,78,2009
2009,212,35,19-Jul,200,82,2009
2009,213,40,19-Jul,200,89,2009
2009,214,44,19-Jul,200,95,2009
2009,215,41,19-Jul,200,91,2009
2009,216,40,19-Jul,200,89,2009
2009,217,35,19-Jul,200,82,2009
2009,218,39,20-Jul,201,88,2009
2009,219,44,20-Jul,201,95,2009
2009,220,33,20-Jul,201,79,2009
2009,221,33,20-Jul,201,79,2009
2009,222,36,20-Jul,201,84,2009
2009,223,39,17-Jul,198,88,2009
2009,224,39,17-Jul,198,88,2009
2009,225,32,17-Jul,198,78,2009
2009,226,35,17-Jul,198,82,2009
2009,227,39,17-Jul,198,88,2009
2009,228,37,17-Jul,198,85,2009
2009,230,32,17-Jul,198,78,2009
2009,231,30,17-Jul,198,75,2009
2009,232,36,17-Jul,198,84,2009
2009,233,34,17-Jul,198,81,2009
2009,234,43,17-Jul,198,94,2009
2009,235,39,17-Jul,198,88,2009
2009,241,41,14-Jul,195,91,2009
2009,249,36,14-Jul,195,84,2009
2009,55,42,6-Jul,187,92,2009
2009,56,40,6-Jul,187,89,2009
2009,68,41,6-Jul,187,91,2009
2009,72,39,6-Jul,187,88,2009
2009,75,45,6-Jul,187,97,2009
2010,776,52,20-Jul,201,112,2010
2010,777,52,20-Jul,201,112,2010
2010,778,53,20-Jul,201,114,2010
2010,779,50,20-Jul,201,108,2010
2010,780,50,20-Jul,201,108,2010
2010,781,48,20-Jul,201,103,2010
2010,782,49,20-Jul,201,105,2010
2010,783,48,20-Jul,201,103,2010
2010,784,46,20-Jul,201,99,2010
2010,785,50,20-Jul,201,108,2010
2010,786,48,20-Jul,201,103,2010
2010,787,50,20-Jul,201,108,2010
2010,788,46,20-Jul,201,99,2010
2010,789,40,20-Jul,201,86,2010
2010,790,43,20-Jul,201,93,2010
2010,791,52,20-Jul,201,112,2010
2010,792,45,20-Jul,201,97,2010
2010,793,48,20-Jul,201,103,2010
2010,794,48,20-Jul,201,103,2010
2010,795,46,20-Jul,201,99,2010
2010,796,47,20-Jul,201,101,2010
2010,797,45,20-Jul,201,97,2010
2010,798,45,20-Jul,201,97,2010
2010,799,44,20-Jul,201,95,2010
2010,800,58,20-Jul,201,124,2010
2010,801,48,20-Jul,201,103,2010
2010,802,45,20-Jul,201,97,2010
2010,803,42,20-Jul,201,91,2010
2010,804,40,20-Jul,201,86,2010
2010,805,43,20-Jul,201,93,2010
2010,806,38,20-Jul,201,82,2010
2010,807,47,20-Jul,201,101,2010
2010,808,42,20-Jul,201,91,2010
2010,809,48,20-Jul,201,103,2010
2010,810,50,20-Jul,201,108,2010
2010,811,48,20-Jul,201,103,2010
2010,812,48,20-Jul,201,103,2010
2010,813,48,20-Jul,201,103,2010
2010,814,53,20-Jul,201,114,2010
2010,815,43,20-Jul,201,93,2010
2010,816,54,20-Jul,201,116,2010
2010,817,50,20-Jul,201,108,2010
2010,818,44,21-Jul,202,95,2010
2010,819,50,22-Jul,203,108,2010
2010,820,50,15-Jul,196,108,2010
2010,821,32,15-Jul,196,69,2010
2010,822,38,15-Jul,196,82,2010
2010,823,30,15-Jul,196,65,2010
2010,824,30,15-Jul,196,65,2010
2010,825,33,15-Jul,196,71,2010
2010,826,34,15-Jul,196,74,2010
2010,827,37,15-Jul,196,80,2010
2010,828,42,15-Jul,196,91,2010
2010,829,41,15-Jul,196,88,2010
2010,830,52,20-Jul,201,112,2010
2010,834,54,20-Jul,201,116,2010
2010,835,48,20-Jul,201,103,2010
2010,836,46,20-Jul,201,99,2010
2010,837,46,20-Jul,201,99,2010
2010,842,49,20-Jul,201,105,2010
2010,845,44,20-Jul,201,95,2010
2010,846,44,20-Jul,201,95,2010
2010,849,45,20-Jul,201,97,2010
2010,850,40,20-Jul,201,86,2010
2010,851,41,20-Jul,201,88,2010
2010,853,41,20-Jul,201,88,2010
2010,856,43,20-Jul,201,93,2010
2010,857,43,20-Jul,201,93,2010
2010,858,41,20-Jul,201,88,2010
2010,859,40,20-Jul,201,86,2010
2010,860,41,20-Jul,201,88,2010
2010,862,32,20-Jul,201,69,2010
2010,863,32,20-Jul,201,69,2010
2010,865,55,20-Jul,201,118,2010
2010,866,44,20-Jul,201,95,2010
2010,867,40,20-Jul,201,86,2010
2010,870,42,20-Jul,201,91,2010
2010,874,49,20-Jul,201,105,2010
2010,875,50,20-Jul,201,108,2010
2010,877,50,20-Jul,201,108,2010
2010,878,50,20-Jul,201,108,2010
2012,1000,40.7,13-Jul,195,104,2012
2012,1004,38.8,13-Jul,195,102,2012
2012,1005,34.5,13-Jul,195,96,2012
2012,1008,35.4,13-Jul,195,97,2012
2012,1011,43.4,13-Jul,195,108,2012
2012,1012,36,13-Jul,195,98,2012
2012,958,45.9,14-Jul,196,111,2012
2012,959,38.4,14-Jul,196,101,2012
2012,960,38.7,14-Jul,196,102,2012
2012,980,54.9,14-Jul,196,124,2012
2012,982,33.4,14-Jul,196,94,2012
2012,995,40.6,13-Jul,195,104,2012
2012,997,43.3,13-Jul,195,108,2012
2013,2050,50,23-Jul,204,99,2013
2013,2051,48,23-Jul,204,96,2013
2013,2052,44,23-Jul,204,89,2013
2013,2053,50,23-Jul,204,99,2013
2013,2054,48,23-Jul,204,96,2013
2013,2056,41,25-Jul,206,84,2013
2013,2057,51,25-Jul,206,101,2013
2013,2058,54,25-Jul,206,106,2013
2013,2062,48,25-Jul,206,96,2013
2013,2063,54,25-Jul,206,106,2013
2013,2065,46,25-Jul,206,92,2013
2013,2067,50,25-Jul,206,99,2013
2013,2072,53,25-Jul,206,104,2013
2013,2074,51,25-Jul,206,101,2013
2013,2075,50,25-Jul,206,99,2013
2013,2076,44,24-Jul,205,89,2013
2013,2078,44,24-Jul,205,89,2013
2013,2081,52,24-Jul,205,102,2013
2013,2082,50,24-Jul,205,99,2013
2013,2084,54,24-Jul,205,106,2013
2013,2085,45,24-Jul,205,91,2013
2013,2086,48,24-Jul,205,96,2013
2014,2131,45,19-Jul,200,107,2014
2014,2132,60,16-Jul,197,129,2014
2014,2133,60,16-Jul,197,129,2014
2014,2134,56,16-Jul,197,123,2014
2014,2135,37,16-Jul,197,95,2014
2014,2137,43,16-Jul,197,104,2014
2014,2142,45,16-Jul,197,107,2014
2014,2145,55,16-Jul,197,122,2014
2014,2146,50,16-Jul,197,114,2014
2014,2149,50,16-Jul,197,114,2014
2014,2151,42,16-Jul,197,102,2014
2014,2153,55,16-Jul,197,122,2014
2014,2157,58,14-Jul,195,126,2014
2014,2160,45,16-Jul,197,107,2014
2014,2161,45,16-Jul,197,107,2014
2014,2162,50,16-Jul,197,114,2014
2014,2163,47,16-Jul,197,110,2014
2014,2168,40,16-Jul,197,99,2014
2015,2126,45,12-Jul,193,95,2015
2016,2233,72,15-Jul,197,128,2016
2016,2236,70,15-Jul,197,126,2016
2016,2237,58,15-Jul,197,114,2016
2016,2238,62,15-Jul,197,118,2016
2016,2239,68,15-Jul,197,124,2016
2016,2241,68,15-Jul,197,124,2016
2016,2242,52,15-Jul,197,108,2016
2016,2243,70,15-Jul,197,126,2016
2016,2245,71,15-Jul,197,127,2016
2016,2246,80,15-Jul,197,137,2016
2016,2247,72,15-Jul,197,128,2016
2016,2248,73,15-Jul,197,129,2016
2016,2253,64,15-Jul,197,120,2016
2016,2254,63,15-Jul,197,119,2016
2016,2255,70,15-Jul,197,126,2016
2016,2297,69,13-Jul,195,125,2016
2016,2298,62,13-Jul,195,118,2016
2016,2300,57,13-Jul,195,113,2016
2016,2303,58,13-Jul,195,114,2016
2016,2304,54,13-Jul,195,110,2016
2016,2305,54,13-Jul,195,110,2016
2016,2306,50,13-Jul,195,106,2016
2016,2333,64,17-Jul,199,120,2016
2016,2334,60,17-Jul,199,116,2016
2016,2336,60,17-Jul,199,116,2016
2016,2339,62,17-Jul,199,118,2016
2016,2340,68,17-Jul,199,124,2016
2016,2341,70,17-Jul,199,126,2016
2016,2343,56,17-Jul,199,112,2016
2016,2346,65,15-Jul,197,121,2016
2017,2286,70,15-Jul,196,124,2017
2017,2289,70,15-Jul,196,124,2017
2017,2293,58,15-Jul,196,112,2017
2017,2312,57,15-Jul,196,111,2017
2017,2316,60,15-Jul,196,114,2017
2017,2320,64,15-Jul,196,118,2017
2017,2328,38,15-Jul,196,92,2017
2017,2329,45,15-Jul,196,99,2017
2018,2000,64,18-Jul,199,133,2018
2018,2002,61,18-Jul,199,130,2018
2018,2003,64,18-Jul,199,133,2018
2018,2004,63,18-Jul,199,132,2018
2018,2008,96,18-Jul,199,163,2018
2018,2009,85,18-Jul,199,153,2018
2018,2012,44,17-Jul,198,114,2018
2018,2013,52,17-Jul,198,121,2018
2018,2014,50,17-Jul,198,119,2018
2018,2015,50,17-Jul,198,119,2018
2018,2018,73,15-Jul,196,141,2018
2018,2020,59,15-Jul,196,128,2018
2018,2022,54,15-Jul,196,123,2018
2018,2023,72,15-Jul,196,140,2018
2018,2024,54,15-Jul,196,123,2018
2018,2027,60,18-Jul,199,129,2018
2018,2030,75,18-Jul,199,143,2018
2018,2032,61,18-Jul,199,130,2018
2018,2033,74,18-Jul,199,142,2018
2018,2035,40,15-Jul,196,110,2018
2018,2036,61,15-Jul,196,130,2018
2018,2037,62,15-Jul,196,131,2018
2018,2039,41,15-Jul,196,111,2018
2018,2040,49,15-Jul,196,118,2018
2018,2041,58,15-Jul,196,127,2018
2018,2044,55,15-Jul,196,124,2018
2019,2379,47,13-Jul,194,108,2019
2019,2381,55,13-Jul,194,118,2019
2019,2382,43,13-Jul,194,102,2019
2019,2386,60,13-Jul,194,124,2019
2019,2391,36,13-Jul,194,93,2019
2019,2395,47,13-Jul,194,108,2019
2019,2397,45,13-Jul,194,105,2019
2019,2400,46,13-Jul,194,106,2019
2019,2403,56,13-Jul,194,119,2019
2019,2406,57,13-Jul,194,120,2019
2019,2409,48,13-Jul,194,109,2019
